,Tweet_Text,created,Twitter_screenname,Followers,id,location
1029,@airindiain @airvistara Have observed the time table of flights have been set in such a way that there is no 2 flights of you operating at same time. Good strategy. Suggest Vistara increase its baggage allowance to 20 kgs or 25 like AI.,2022-05-03 08:10:03+00:00,karthikn021,15,1.5214E+18,
1030,RT @mathbob71: Vistara airlines unfortunately today my believes got shattered when I had to hold to speak to ur customer associates.Your vo…,2022-05-03 07:45:45+00:00,SatpalS68404229,10,1.5214E+18,"New Delhi, India"
1032,"@airvistara Hi team,

Just an appreciation tweet. 👏🏼🌟 

Kudos to 2 of you employees—  Tanishaq and Pransh (I hope I spelled their names right), did a commendable job and because of them I had a seemless experience while check-in at Row B for my",2022-05-03 07:31:14+00:00,RajatGroverOnIt,201,1.52139E+18,All around the world!
1033,@pulkitnikk @airvistara @DGCAIndia @JM_Scindia @DGCAIndia @ushapadhee1996  This is how @airvistara  @TataCompanies  fleeces customers with your blessings. What is the NEXUS????,2022-05-03 07:24:12+00:00,JASONCROWN8,5,1.52139E+18,Mall de Goa
1034,"@airvistara @ASquaredS going out for lunch with family, nothing too fancy, hoping to come back by evening and hit play in valo",2022-05-03 07:10:15+00:00,themazdman,300,1.52139E+18,
1035,"@airvistara 
@TravelLeisure 
Booked a vistra Del-Trv.
Without any call,update they detained my bag at the Delhi Airport.
Now we are on our holiday without our luggage.
At Delhi said they will send the luggage today itself but at trivandrum they are asking",2022-05-03 07:07:39+00:00,shivams43390095,1,1.52139E+18,
1037,@harsha__56 @Karthikjillella @svcs2021 @ysjagan @VizagWeather247 @airvistara @GoFirstairways @aaivspairport We need proper representation of airport. Even state govt highly focused on non starter Bhoghapuram airport. We are loosing here at our airport,2022-05-03 06:27:57+00:00,flyVizag,6754,1.52138E+18,Visakhapatnam
1038,@airvistara mega city just after take off! https://t.co/JnHUZNWsI8,2022-05-03 06:23:12+00:00,gopal_nagarada,0,1.52137E+18,"Hyderabad, India"
1039,@airvistara I didn't booked the flight yet but wanted to book,2022-05-03 06:22:47+00:00,Adil53934858,3,1.52137E+18,
1040,"@airvistara @MoCA_GoI, Vistara sent a wrong message of flight cancellation to harass passenger of UK628, On Calling them we are greeted with 30+ min waiting, No response on DM on twitter... Worst Customer Service. @ZeeNews @Republic_Bharat",2022-05-03 06:21:22+00:00,CareerMentor_4u,123,1.52137E+18,Udaipur
1042,@flyVizag @Karthikjillella @svcs2021 @ysjagan @VizagWeather247 What i dont understand is...Why @airvistara @GoFirstairways have not yet started from Vizag...They have started in cities which are smaller than Vizag....Request @aaivspairport to please look ,2022-05-03 06:17:36+00:00,harsha__56,17,1.52137E+18,
1043,@flyingamit @airvistara The airline has to aggressively drill to stay far away from all pre monsoon storms especially squall lines through circulars. The problem is a storm in approach path. At lower level one is tempted to go through. Delta191 L1011 fata,2022-05-03 06:09:11+00:00,CaptVilas,134,1.52137E+18,
1044,"Here are some interesting things noticed!

On some interline/code share routes, The option given by @airvistara (DEL-CJB Non-stop) has huge Fare difference comparing @airindiain (DEL-MAA-CJB Direct)👇

Many routes does have minimal fare difference between the two! 

some snaps👇 https://t.co/MwCyXUTFa2",2022-05-03 06:05:19+00:00,cjb_aviation,3872,1.52137E+18,"Coimbatore, India"
1045,@airvistara Thank you!!! I hope you can find it. I know it’s silly but it means the world to me.,2022-05-03 06:04:37+00:00,HayleyFlewelli1,2,1.52137E+18,
