,Tweet_Text,created,Twitter_screenname,Followers,id,location
232,@airindiain None of the staff is helping or supporting them at airport i really thought airindia is the best airlin… https://t.co/P7nwuZ5NGb,2022-05-04 02:34:28+00:00,VaibhavGang,0,1.52E+18,
233,@airindiain @RahulGandhi @JM_Scindia @RNTata2000 @ConsumerReports  i would like to claim for the this loss..and the… https://t.co/itEBZ8ryhD,2022-05-04 02:04:42+00:00,VaibhavGang,0,1.52E+18,
234,"@airsewa_MoCA 
I have booked airindia ticket via Flipkart travel portal from bbi to del for date 13.05.22 but airin… https://t.co/W6lhVVTFdd",2022-05-04 01:50:50+00:00,Arunkumardhal,0,1.52E+18,
235,@airindiain I would like to claim for this big loss..as @airindiain is not able to accommodate my parents in any ot… https://t.co/Y9TcQlra3B,2022-05-04 01:43:48+00:00,VaibhavGang,0,1.52E+18,
236,"@airindiain Today is the 17th day and I am waiting… I have a return flight soon, and I hope not to collect the bag… https://t.co/LEs2QBTSPB",2022-05-04 01:42:05+00:00,iamSinchanSinha,0,1.52E+18,
237,@airindiain @airindiain @JM_Scindia @RNTata2000 @PMOIndia we would like to claim for the loss we have suffered toda… https://t.co/qOZKb8iVQR,2022-05-04 01:31:01+00:00,VaibhavGang,0,1.52E+18,
238,@airindiain @JM_Scindia @PMOIndia @AmitShah @RNTata2000 kindly help my parents.they are struggling at airporti real… https://t.co/3MdIgbk0dS,2022-05-04 01:29:18+00:00,VaibhavGang,0,1.52E+18,
239,"RT @Emylee91435237: Qantas Group Careers : The Recruitment Process Is Started With Us.

APPLY NOW: https://t.co/0DgFpEzyMO
#interestrates #…",2022-05-04 01:02:29+00:00,KevinTilley16,145,1.52E+18,
240,"Last week when i spoke to one of the Airindia representatives, the flight ticket fee was 33,000rs. However due to t… https://t.co/C87ANpA24H",2022-05-04 00:57:32+00:00,Manvi_30,14,1.52E+18,"Coimbatore, India"
241,"Need an update, I lost 2 days I could have lost my job , Lost my 2 days of salary. You guys knew this is happening… https://t.co/Fd4YILIBIw",2022-05-04 00:57:01+00:00,kinjalsampat62,657,1.52E+18,"Mumbai, Maharashtra"
242,@airindiain There is a flight of indigo today .. airindia should accomodate them to that flight..because that's not… https://t.co/FhYq3pdc9G,2022-05-04 00:54:09+00:00,VaibhavGang,0,1.52E+18,
243,@Khaleeqrahman @airindiain Even my flight is from banglore to jodhpur ..which is connected via mumbai..but now airi… https://t.co/Ue1jY78NVX,2022-05-04 00:29:05+00:00,VaibhavGang,0,1.52E+18,
244,@AKBeingHumanTO We request you to visit (https://t.co/Fv2fTCrgoM) to know about the updated international travel guidelines.,2022-05-04 00:19:49+00:00,airindiain,562411,1.52E+18,"New Delhi, India"
245,@airindiain What kind of test are allowed to travel to USA. https://t.co/6gVpns70tv does not say anything about the type of the test.,2022-05-04 00:03:53+00:00,uxanddesign,58,1.52E+18,"New York, USA"
246,@AKBeingHumanTO We request you to visit (https://t.co/ZajApD2b1F) to know about the updated international travel guidelines.,2022-05-03 23:40:35+00:00,airindiain,562411,1.52E+18,"New Delhi, India"
247,@flyspicejet I am an frequent traveler and never experienced this so badly very poor management.I had similar incid… https://t.co/yKBJ5qxVtE,2022-05-03 23:20:09+00:00,chinmaya_hota,33,1.52E+18,"Boston, MA"
248,RT @Ramakri89932428: @airindiain  I have been trying to file a complaint for my lost baggage in Chicago for last 3 days but no luck . Nobod…,2022-05-03 22:06:50+00:00,Ramakri89932428,0,1.52E+18,
249,@airindiain  I have been trying to file a complaint for my lost baggage in Chicago for last 3 days but no luck . No… https://t.co/CCvAIF5BGS,2022-05-03 21:56:08+00:00,Ramakri89932428,0,1.52E+18,
250,"RT @BlackZorro07: #Goa - here I come 😎😎😎😎

#airindia #IncredibleIndia #Bengaluru 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 https://t.co/VeOOgnnjga",2022-05-03 21:35:21+00:00,esinduhije1,959,1.52E+18,doncaster 
251,@Nomadstravel1 Dehli ..stuck for 26 hrs in a transit hall with no facilities beyond a filthy toilet. Incredible Ind… https://t.co/PXU3tZKqBk,2022-05-03 21:20:55+00:00,NomadicBackpac1,4113,1.52E+18,Back in Mexico
252,"@airindiain @airindiain @TataCompanies I haven’t received any refund yet. Please dnt ask for time anymore, money is… https://t.co/iDBF3uEHKp",2022-05-03 20:34:57+00:00,maibspatil,61,1.52E+18,"Bengaluru, Karnataka"
253,"#Goa - here I come 😎😎😎😎

#airindia #IncredibleIndia #Bengaluru 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 https://t.co/VeOOgnnjga",2022-05-03 19:31:39+00:00,BlackZorro07,1535,1.52E+18,Nil Point
254,@airindiain @AtishiAAP No AirIndia don't take this to DM. The complaint is raised in open &amp;without any specific det… https://t.co/4rVwyCq3ap,2022-05-03 19:25:27+00:00,doesnotsuitme,4,1.52E+18,
255,"@PMOIndia @nsitharaman @RNTata2000 
@PMOIndia
@nsitharaman 
50lakh crore as our annual exports? 
I live in berlin.… https://t.co/uiqfhDx6zJ",2022-05-03 19:18:55+00:00,MustiSwaroop,0,1.52E+18,"Berlin, Germany"
256,@airindiain who is responsible for Flipkart travel booking alternative flight option acceptance processor 1. Airind… https://t.co/iJXr28Q6C0,2022-05-03 18:31:12+00:00,Arunkumardhal,0,1.52E+18,
257,RT @Arundhal8: @flipkartsupport @Cleartrip who is responsible for Flipkart travel booking alternative flight option acceptance processor 1.…,2022-05-03 18:27:19+00:00,BandBajaateRaho,12105,1.52E+18,"Bengaluru, India"
258,"@airindiain So I guess that’s all you can do.

It’s alright it’s my fault anyway to travel using AirIndia as I don’… https://t.co/YpvMkKB4yK",2022-05-03 18:22:50+00:00,Sid51804919,0,1.52E+18,
259,@flipkartsupport @Cleartrip who is responsible for Flipkart travel booking alternative flight option acceptance pro… https://t.co/rIDNMMAWea,2022-05-03 18:20:57+00:00,Arunkumardhal,0,1.52E+18,
260,@airindiain Please increase flight to US-India from Jun-Aug specially in West Coast.  Its win-win situation for Air… https://t.co/gJI0v07q7i,2022-05-03 18:12:13+00:00,sachingupta27,19,1.52E+18,New Jersey- US   
261,What could be a better time to start Copenhagen-Delhi Air India ✈️ while Modi ji in Denmark #ModiInEurope #PMOIndia #AirIndia,2022-05-03 18:07:17+00:00,dk1swe,0,1.52E+18,
262,@Cleartrip who is responsible for Flipkart travel booking alternative flight option acceptance processor 1. Airindi… https://t.co/ocx4JkfaU6,2022-05-03 18:05:50+00:00,Arunkumardhal,0,1.52E+18,
263,@airindiain AirIndia lost my bag and there is no one to help and the call Center just drops the call and just asks… https://t.co/0S7Y0ZxL2J,2022-05-03 17:49:21+00:00,Sid51804919,0,1.52E+18,
264,@airindiain I have DMed all the details. He is at Delhi airport Airindia counter now. He is over 80 yrs old. Please assist.,2022-05-03 16:34:28+00:00,ceerith,13,1.52E+18,
265,RT @Tarun_khatter3: @makemytripcare Please see email from airindia for cancellation of tickets. Amazed to see the information available wit…,2022-05-03 15:49:17+00:00,sanjaykhttr,6,1.52E+18,"Gurgaon, India"
